tcID,reactant,product,type,label
(Cdc13_Cdc2 creation).Flux,Cdc13_Cdc2_src,Cdc13_Cdc2,->,k/C
(Cig2_Cdc2 creation).Flux,Cig2_Cdc2_src,Cig2_Cdc2,->,k/C
(Cdc2 phosphorylation).Flux,Cdc13_Cdc2,Cdc2 phosphorylation_mod,->,(C*C*k-k*(C*C))/C
(Cdc2 phosphorylation).Flux,Cdc2 phosphorylation_mod,Cdc13_P-Cdc2,->,(C*C*k-k*(C*C))/C
Wee1,Wee1,Cdc2 phosphorylation_mod,-o,(C*C*k-k*(C*C))/C
Cdc25,Cdc25,Cdc2 phosphorylation_mod,-o,(C*C*k-k*(C*C))/C
(binding of Rum1 with Cdc13_Cdc2).Flux,Cdc13_Cdc2,binding of Rum1 with Cdc13_Cdc2_mod,->,(C*C*k*(F*C)-C*C*kr)/C
(binding of Rum1 with Cdc13_Cdc2).Flux,FreeRum1,binding of Rum1 with Cdc13_Cdc2_mod,->,(C*C*k*(F*C)-C*C*kr)/C
(binding of Rum1 with Cdc13_Cdc2).Flux,binding of Rum1 with Cdc13_Cdc2_mod,Cdc13_Cdc2_Rum1,->,(C*C*k*(F*C)-C*C*kr)/C
(binding of Rum1 with Cdc13_P-Cdc2).Flux,Cdc13_P-Cdc2,binding of Rum1 with Cdc13_P-Cdc2_mod,->,(k*(C*C)*(F*C)-kr*(CF*C))/C
(binding of Rum1 with Cdc13_P-Cdc2).Flux,FreeRum1,binding of Rum1 with Cdc13_P-Cdc2_mod,->,(k*(C*C)*(F*C)-kr*(CF*C))/C
(binding of Rum1 with Cdc13_P-Cdc2).Flux,binding of Rum1 with Cdc13_P-Cdc2_mod,Cdc13_P-Cdc2_Rum1,->,(k*(C*C)*(F*C)-kr*(CF*C))/C
(Rum1 degradation in Rum1_Cdc13_Cdc2).Flux,Cdc13_Cdc2_Rum1,Cdc13_Cdc2,->,k*C
(Rum1 degradation in solution).Flux,FreeRum1,FreeRum1_deg,->,k*F
(Rum1 degradation in Rum1_Cdc13_P-Cdc2).Flux,Cdc13_P-Cdc2_Rum1,Cdc13_P-Cdc2,->,k*C
(Rum1 degradation in Rum1_Cig2_Cdc2).Flux,Cig2_Cdc2_Rum1,Cig2_Cdc2,->,k*C
(Cdc13 degradation in Cdc13_Cdc2).Flux,Cdc13_Cdc2,Cdc13 degradation in Cdc13_Cdc2_mod,->,k*C
(Cdc13 degradation in Cdc13_Cdc2).Flux,Cdc13 degradation in Cdc13_Cdc2_mod,Cdc13_Cdc2_deg,->,k*C
ubiquitinProtease1,ubiquitinProtease1,Cdc13 degradation in Cdc13_Cdc2_mod,-o,k*C
