Time,signal,IKK,IKKa,NFkB,NFkBa,IkB,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11
0,0,0.999198,0.000802,0.999943,0.000057,0.002027,0.000357,4.166109,0.005728,0.047746,0.000391,0.000005,0,0.000396,3.491424,0.00047,3.491894
0.996514,0.00996514,0.999216,0.000784,0.999943,0.000057,0.002027,0.000357,4.166122,0.005598,0.046669,0.000391,0.000005,0,0.000395,3.491424,0.000463,3.491887
1.923239,0.01923239,0.998467,0.001533,0.999941,0.000059,0.002027,0.000357,4.165601,0.010947,0.090603,0.000391,0.000009,0,0.000398,3.491424,0.000479,3.491902
2.998709,0.02998709,0.997581,0.002419,0.999938,0.000062,0.002028,0.000357,4.164984,0.017263,0.141684,0.000391,0.000014,0,0.000402,3.491424,0.000503,3.491927
3.883646,0.03883646,0.99684,0.00316,0.999936,0.000064,0.002028,0.000356,4.164466,0.022552,0.183796,0.000391,0.000018,0,0.000406,3.491424,0.000526,3.49195
5.069597,0.05069597,0.995827,0.004173,0.999932,0.000068,0.002028,0.000356,4.163759,0.029771,0.24035,0.000391,0.000024,0,0.000412,3.491424,0.00056,3.491983
6.130505,0.06130505,0.994902,0.005098,0.999927,0.000073,0.002029,0.000356,4.163111,0.036363,0.291058,0.000391,0.000029,0,0.000417,3.491424,0.000594,3.492017
6.796095,0.06796095,0.994312,0.005688,0.999925,0.000075,0.002029,0.000356,4.162698,0.040564,0.322929,0.000391,0.000033,0,0.00042,3.491424,0.000617,3.49204
8.127275,0.08127275,0.993109,0.006891,0.999918,0.000082,0.00203,0.000356,4.161854,0.049125,0.38681,0.000391,0.00004,0,0.000426,3.491424,0.000668,3.492092
8.792865,0.08792865,0.992496,0.007504,0.999915,0.000085,0.00203,0.000355,4.161423,0.053486,0.418822,0.000391,0.000043,0,0.000429,3.491424,0.000697,3.49212
9.777727,0.09777727,0.991574,0.008426,0.999909,0.000091,0.002031,0.000355,4.160774,0.060041,0.46628,0.000391,0.000049,0,0.000434,3.491424,0.000743,3.492166
10.76259,0.1076259,0.990634,0.009366,0.999903,0.000097,0.002031,0.000355,4.160111,0.066722,0.513848,0.000391,0.000054,0,0.000439,3.491424,0.000795,3.492218
11.747452,0.11747452,0.989675,0.010325,0.999896,0.000104,0.002032,0.000355,4.159434,0.073532,0.561531,0.000391,0.00006,0,0.000443,3.491424,0.000852,3.492275
12.732314,0.12732314,0.988697,0.011303,0.999888,0.000112,0.002033,0.000355,4.158742,0.080476,0.609331,0.000391,0.000065,0,0.000448,3.491424,0.000917,3.49234
13.717176,0.13717176,0.987698,0.012302,0.999879,0.000121,0.002034,0.000354,4.158035,0.087558,0.657254,0.000391,0.000071,0,0.000453,3.491424,0.000991,3.492414
14.702039,0.14702039,0.986679,0.013321,0.999869,0.000131,0.002035,0.000354,4.157312,0.094784,0.705302,0.000391,0.000077,0,0.000457,3.491424,0.001074,3.492497
15.766514,0.15766514,0.985553,0.014447,0.999856,0.000144,0.002036,0.000354,4.156512,0.10276,0.757381,0.000391,0.000083,0,0.000462,3.491424,0.001177,3.4926
16.830989,0.16830989,0.984402,0.015598,0.999842,0.000158,0.002038,0.000354,4.155692,0.110915,0.809618,0.000391,0.00009,0,0.000467,3.491424,0.001295,3.492718
17.895464,0.17895464,0.983223,0.016777,0.999825,0.000175,0.00204,0.000353,4.15485,0.119257,0.86202,0.000391,0.000097,0,0.000471,3.491424,0.001431,3.492854
18.959939,0.18959939,0.982015,0.017985,0.999806,0.000194,0.002042,0.000353,4.153987,0.127793,0.914592,0.000391,0.000104,0,0.000476,3.491424,0.001589,3.49301
20.024415,0.20024415,0.980779,0.019221,0.999784,0.000216,0.002044,0.000353,4.153101,0.13653,0.967341,0.000391,0.000111,0,0.00048,3.491424,0.00177,3.493191
21.08889,0.2108889,0.979511,0.020489,0.999758,0.000242,0.002047,0.000352,4.152191,0.145478,1.020276,0.000391,0.000118,0,0.000484,3.491424,0.001978,3.4934
22.153365,0.22153365,0.978212,0.021788,0.999729,0.000271,0.00205,0.000352,4.151256,0.154644,1.073403,0.000391,0.000126,0,0.000487,3.491424,0.002219,3.493639
23.21784,0.2321784,0.976879,0.023121,0.999695,0.000305,0.002053,0.000352,4.150295,0.164038,1.126731,0.000391,0.000133,0,0.000491,3.491424,0.002494,3.493914
24.282315,0.24282315,0.975512,0.024488,0.999657,0.000343,0.002057,0.000351,4.149307,0.17367,1.180268,0.000391,0.000141,0,0.000494,3.491424,0.002809,3.494229
25.225767,0.25225767,0.974269,0.025731,0.999618,0.000382,0.002061,0.000351,4.148406,0.182415,1.227901,0.000391,0.000148,0,0.000496,3.491424,0.003124,3.494544
26.169218,0.26169218,0.972997,0.027003,0.999575,0.000425,0.002066,0.000351,4.147483,0.191363,1.275713,0.000391,0.000156,0,0.000499,3.491424,0.003477,3.494896
27.112669,0.27112669,0.971693,0.028307,0.999527,0.000473,0.002071,0.000351,4.146534,0.200523,1.323711,0.000391,0.000163,0,0.000501,3.491424,0.00387,3.495288
27.833211,0.27833211,0.970676,0.029324,0.999486,0.000514,0.002075,0.00035,4.145793,0.207666,1.360499,0.000391,0.000169,0,0.000502,3.491424,0.0042,3.495617
29.274295,0.29274295,0.968582,0.031418,0.999396,0.000604,0.002085,0.00035,4.144262,0.222356,1.434428,0.000391,0.000181,0,0.000505,3.491424,0.004939,3.496355
29.85596,0.2985596,0.967713,0.032287,0.999356,0.000644,0.00209,0.00035,4.143625,0.228444,1.464407,0.000391,0.000186,0.000001,0.000506,3.491424,0.00527,3.496686
31.019289,0.31019289,0.965933,0.034067,0.999267,0.000733,0.002099,0.000349,4.142318,0.240907,1.524619,0.000391,0.000197,0.000001,0.000507,3.491424,0.005991,3.497406
32.182619,0.32182619,0.964094,0.035906,0.999169,0.000831,0.00211,0.000349,4.140963,0.253771,1.585182,0.000391,0.000207,0.000001,0.000509,3.491424,0.006796,3.49821
32.764284,0.32764284,0.963151,0.036849,0.999116,0.000884,0.002116,0.000349,4.140266,0.260361,1.615603,0.000391,0.000213,0.000001,0.000509,3.491424,0.007232,3.498645
34.324152,0.34324152,0.960541,0.039459,0.998959,0.001041,0.002134,0.000348,4.138333,0.278581,1.697664,0.000391,0.000228,0.000001,0.000511,3.491424,0.008515,3.499926
35.014013,0.35014013,0.959347,0.040653,0.998883,0.001117,0.002143,0.000348,4.137445,0.286907,1.734191,0.000391,0.000235,0.000001,0.000511,3.491424,0.009138,3.500549
35.703874,0.35703874,0.958127,0.041873,0.998802,0.001198,0.002152,0.000347,4.136537,0.295405,1.770869,0.000391,0.000242,0.000001,0.000512,3.491424,0.009797,3.501207
37.083597,0.37083597,0.955606,0.044394,0.998627,0.001373,0.002172,0.000347,4.134653,0.312946,1.844703,0.000391,0.000256,0.000001,0.000513,3.491424,0.011226,3.502634
37.773458,0.37773458,0.954303,0.045697,0.998533,0.001467,0.002184,0.000346,4.133676,0.322003,1.881872,0.000391,0.000264,0.000001,0.000513,3.491424,0.011998,3.503405
38.698871,0.38698871,0.952507,0.047493,0.998398,0.001602,0.0022,0.000346,4.132326,0.334471,1.93201,0.000391,0.000274,0.000001,0.000514,3.491424,0.013098,3.504503
39.624284,0.39624284,0.950654,0.049346,0.998255,0.001745,0.002217,0.000346,4.130929,0.34732,1.982482,0.000391,0.000285,0.000001,0.000514,3.491424,0.014272,3.505677
40.549698,0.40549698,0.94874,0.05126,0.998101,0.001899,0.002236,0.000345,4.129481,0.360574,2.033309,0.000391,0.000296,0.000001,0.000515,3.491424,0.015525,3.506927
42.400525,0.42400525,0.944716,0.055284,0.997765,0.002235,0.002279,0.000344,4.126421,0.388391,2.13611,0.000391,0.000319,0.000001,0.000515,3.491424,0.018276,3.509675
43.141757,0.43141757,0.943025,0.056975,0.997618,0.002382,0.002298,0.000344,4.125128,0.400061,2.177743,0.000391,0.000329,0.000001,0.000516,3.491424,0.019475,3.510872
43.88299,0.4388299,0.941284,0.058716,0.997465,0.002535,0.002318,0.000343,4.123794,0.412055,2.21966,0.000391,0.000339,0.000001,0.000516,3.491424,0.020731,3.512126
45.232937,0.45232937,0.937979,0.062021,0.997166,0.002834,0.002359,0.000343,4.121249,0.434795,2.296783,0.000391,0.000358,0.000002,0.000516,3.491424,0.023173,3.514565
45.841651,0.45841651,0.936427,0.063573,0.997023,0.002977,0.002378,0.000342,4.120049,0.445452,2.331911,0.000391,0.000367,0.000002,0.000516,3.491424,0.024343,3.515733
46.94021,0.4694021,0.933523,0.066477,0.996751,0.003249,0.002417,0.000342,4.117794,0.465369,2.395904,0.000391,0.000383,0.000002,0.000517,3.491424,0.026565,3.517952
47.919901,0.47919901,0.930811,0.069189,0.996494,0.003506,0.002455,0.000341,4.115679,0.483929,2.45367,0.000391,0.000399,0.000002,0.000517,3.491424,0.028673,3.520057
49.130351,0.49130351,0.927287,0.072713,0.996154,0.003846,0.002507,0.00034,4.112914,0.507998,2.526032,0.000391,0.000419,0.000002,0.000517,3.491424,0.031451,3.52283
49.937318,0.49937318,0.924821,0.075179,0.995914,0.004086,0.002544,0.000339,4.11097,0.524805,2.574935,0.000391,0.000433,0.000002,0.000517,3.491424,0.033415,3.52479
51.157965,0.51157965,0.920895,0.079105,0.995529,0.004471,0.002607,0.000338,4.107855,0.551503,2.650017,0.000391,0.000456,0.000002,0.000518,3.491424,0.036565,3.527934
51.975129,0.51975129,0.918121,0.081879,0.995255,0.004745,0.002654,0.000338,4.105643,0.570316,2.701097,0.00039,0.000472,0.000002,0.000518,3.491424,0.0388,3.530165
52.792293,0.52792293,0.91522,0.08478,0.994969,0.005031,0.002704,0.000337,4.103316,0.589957,2.752895,0.00039,0.000488,0.000002,0.000518,3.491424,0.041143,3.532502
54.102816,0.54102816,0.910269,0.089731,0.99448,0.00552,0.002795,0.000336,4.099317,0.62338,2.837632,0.00039,0.000517,0.000002,0.000518,3.491424,0.045136,3.536486
54.976498,0.54976498,0.906739,0.093261,0.994134,0.005866,0.002862,0.000335,4.096444,0.647136,2.895397,0.00039,0.000537,0.000003,0.000518,3.491424,0.047971,3.539313
55.850181,0.55850181,0.903,0.097,0.993769,0.006231,0.002937,0.000334,4.093382,0.672225,2.954312,0.00039,0.000559,0.000003,0.000518,3.491424,0.050952,3.542286
57.078912,0.57078912,0.89734,0.10266,0.993224,0.006776,0.003056,0.000333,4.088705,0.710077,3.03938,0.00039,0.000591,0.000003,0.000518,3.491424,0.055412,3.546731
58.144058,0.58144058,0.891989,0.108011,0.992718,0.007282,0.003175,0.000331,4.08424,0.745711,3.115543,0.00039,0.000622,0.000003,0.000518,3.491424,0.059549,3.550853
59.144417,0.59144417,0.886516,0.113484,0.992212,0.007788,0.003304,0.00033,4.079627,0.782,3.189488,0.00039,0.000653,0.000003,0.000518,3.491424,0.063686,3.554972
60.015204,0.60015204,0.881334,0.118666,0.991745,0.008255,0.003431,0.000329,4.075216,0.816217,3.256093,0.00039,0.000683,0.000003,0.000518,3.491424,0.067502,3.55877
60.885991,0.60885991,0.875688,0.124312,0.991252,0.008748,0.003577,0.000327,4.070362,0.853334,3.325158,0.00039,0.000715,0.000004,0.000519,3.491424,0.071536,3.562781
62.073947,0.62073947,0.867061,0.132939,0.990531,0.009469,0.003812,0.000325,4.062846,0.909715,3.42422,0.000389,0.000765,0.000004,0.000519,3.491424,0.07743,3.568634
62.933682,0.62933682,0.859975,0.140025,0.989971,0.010029,0.004017,0.000323,4.056581,0.95572,3.500265,0.000389,0.000805,0.000004,0.000519,3.491424,0.08201,3.573175
64.050793,0.64050793,0.849344,0.150656,0.989188,0.010812,0.004341,0.000321,4.047024,1.024206,3.606278,0.000389,0.000866,0.000005,0.000519,3.491424,0.088414,3.579512
64.985185,0.64985185,0.838744,0.161256,0.988477,0.011523,0.004681,0.000318,4.037299,1.09185,3.7034,0.000389,0.000927,0.000005,0.000519,3.491424,0.094231,3.585248
65.974582,0.65974582,0.824967,0.175033,0.987656,0.012344,0.005143,0.000314,4.024359,1.178777,3.818442,0.000389,0.001006,0.000005,0.000519,3.491424,0.100944,3.591833
67.03884,0.6703884,0.805234,0.194766,0.986673,0.013327,0.005821,0.000309,4.005206,1.301261,3.964489,0.000389,0.001119,0.000006,0.000519,3.491424,0.108978,3.599642
68.008978,0.68008978,0.778394,0.221606,0.985652,0.014348,0.006721,0.000302,3.977917,1.46383,4.134364,0.000388,0.001272,0.000007,0.000519,3.491424,0.117328,3.607614
69.016323,0.69016323,0.726687,0.273313,0.98438,0.01562,0.008238,0.000288,3.920887,1.762805,4.39277,0.000388,0.001569,0.000009,0.000519,3.491424,0.127729,3.617145
69.996832,0.69996832,0.58946,0.41054,0.982668,0.017332,0.011233,0.000247,3.733312,2.445747,4.824773,0.000388,0.002355,0.000013,0.000519,3.491424,0.14173,3.628474
71.00311,0.7100311,0.353483,0.646517,0.979695,0.020305,0.020206,0.000164,3.193261,3.033018,5.196267,0.000387,0.003704,0.000023,0.000519,3.491424,0.166042,3.642406
72.009907,0.72009907,0.320328,0.679672,0.976002,0.023998,0.045016,0.000151,3.078136,3.022484,5.230445,0.000386,0.003889,0.000053,0.000519,3.491424,0.19624,3.652082
73.003601,0.73003601,0.313218,0.686782,0.97233,0.02767,0.09298,0.000148,3.051509,3.016083,5.2374,0.000386,0.003924,0.00011,0.000519,3.491424,0.226269,3.656162
74.002265,0.74002265,0.306923,0.693077,0.968682,0.031318,0.168392,0.000146,3.027313,3.009115,5.243453,0.000385,0.003955,0.000202,0.000519,3.491424,0.256097,3.65788
